,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,inkl_koffer,koffer,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
193,303853,,Sapele,21,Ja,Fichte,Januar 2013,Natur,Palisander,Takamine,Nein,,Ja,Takamine P4DC,1299.0,"42,50 mm",Ja,1 Stück,8980
194,167846,,Palisander,20,Nein,Fichte,März 2004,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars D-41 Westerngitarre,5698.0,"42,90 mm",Nein,1 Stück,80736
195,457597,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",April 2019,Sunburst,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 717e WHB,3399.0,"44,50 mm",Ja,1 Stück,28187
196,295089,,Sapele,20,Ja,Fichte,September 2012,Natur,Palisander,Takamine,Nein,,Ja,Takamine P2DC,999.0,"42,50 mm",Ja,1 Stück,28157
197,451028,,Palisander,20,Ja,"Fichte, Massiv",Oktober 2018,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha A1R II TBS,579.0,"43,00 mm",Ja,1 Stück,39327
198,457585,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",Januar 2019,Sunburst,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 517e WHB,3199.0,"44,50 mm",Ja,1 Stück,31179
199,386229,,Palisander,20,Nein,"Fichte, Massiv",Februar 2017,Natur,Ebenholz,Yamaha,Nein,,Ja,Yamaha Transacoustic LL-TA VT,869.0,"44,00 mm",Ja,1 Stück,35441
200,378810,,Mahagoni,20,Nein,Fichte,Mai 2016,Natur,Palisander,Guild,Ja,,Nein,Guild D-240E Westerly Archback,429.0,"44,45 mm",Ja,1 Stück,33764
201,379956,,Mahagoni,20,Nein,"Mahagoni, massiv",Juni 2016,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FG850 NT,399.0,"43,00 mm",Nein,1 Stück,43417
202,157819,,Catalpa,20,Ja,Fichte,Januar 2003,Schwarz,Roseacer,Harley Benton,Nein,,Nein,Harley Benton HBD120CEBK Westerngitarre Schwarz,74.0,"42,50 mm",Ja,1 Stück,63
203,336998,,Mahagoni,20,Ja,Fichte,August 2014,Natur,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120CE NT,74.0,"42,50 mm",Ja,1 Stück,255
204,439733,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",Mai 2018,Sunburst,Ahorn,Ibanez,Nein,,Nein,Ibanez AVD10E-BVS Artwood Vintage,586.0,"43,00 mm",Ja,1 Stück,58956
205,208783,,Mahagoni,20,Nein,Fichte,Januar 2009,Natur,Ebenholz,Larrivee,Nein,,Ja,Larrivee D-03E,1699.0,"43,00 mm",Ja,1 Stück,80881
206,447683,,Mahagoni,20,Ja,"Fichte, Massiv",September 2018,Schwarz,Walnuss,Fender,Nein,,Nein,Fender CD-60SCE Blk WN,258.0,"43,00 mm",Ja,1 Stück,2552
207,245025,,Catalpa,20,Nein,Fichte,März 2010,Schwarz,Roseacer,Harley Benton,Ja,,Nein,Harley Benton D120BK Bundle English,99.0,"42,50 mm",Nein,1 Stück,30545
208,436873,,"Walnuss, massiv",20,Ja,"Fichte, Massiv",Juni 2018,"Natur, matt",Ebenholz,Furch,Nein,,Nein,Furch Blue D-SW/L.R.Baggs Stage Pro,1345.0,"45,00 mm",Ja,1 Stück,29566
209,439421,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",Mai 2018,Natur,Ebenholz,Furch,Nein,,Ja,Furch Vintage 2 D-SR,1899.0,"45,00 mm",Nein,1 Stück,14281
210,462425,,Mahagoni,20,Ja,Fichte,Mai 2019,Sunburst,Blackwood,Epiphone,Nein,,Nein,Epiphone DR-400MCE FCSB,379.0,"43,00 mm",Ja,1 Stück,13569
211,465473,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",Mai 2019,Natur,Ebenholz,Yamaha,Nein,,Ja,Yamaha FG3 NT,769.0,"44,00 mm",Nein,1 Stück,81938
212,406861,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",April 2017,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor Custom #10040 Dreadnought,4799.0,"44,50 mm",Ja,1 Stück,83309
213,462390,,Kirsche,21,Nein,"Fichte, Massiv",März 2019,Braun,Palisander,Seagull,Nein,,Nein,Seagull S6 Original Burnt Umber Q1T,599.0,"45,72 mm",Ja,1 Stück,30464
214,167845,,Palisander,20,Nein,Fichte,März 2004,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars D-42,5899.0,"42,90 mm",Nein,1 Stück,83444
215,436818,,Linde,20,Ja,Fichte,Juli 2018,Schwarz,Hartholz,Fender,Nein,,Nein,Fender FA-125CE Blk,165.0,"43,00 mm",Ja,1 Stück,3533
216,285267,,Mahagoni,20,Ja,Zeder,Mai 2012,Schwarz,Palisander,Takamine,Nein,,Ja,Takamine EF341SC B-Stock,925.0,"42,50 mm",Ja,1 Stück,24554
217,379090,,Mahagoni,20,Nein,"Mahagoni, massiv",Juli 2017,Sunburst,Palisander,Guild,Nein,,Ja,Guild D-20E ATB,1799.0,"43,00 mm",Ja,1 Stück,36384
218,423522,,Nato,20,Ja,Fichte,Oktober 2017,Sunburst,Ahorn,Fender,Nein,,Nein,Fender Squier SA-105CE SB Bundle 3,112.0,"43,00 mm",Ja,1 Stück,35680
219,427303,,Mahagoni,20,Ja,Mahagoni,Dezember 2017,Schwarz,Palisander,Ibanez,Nein,,Nein,Ibanez AW84CE-WK Artwood B-Stock,259.0,"43,00 mm",Ja,1 Stück,71223
220,379075,,Mahagoni,20,Nein,"Mahagoni, massiv",Juni 2016,Sunburst,Palisander,Guild,Nein,,Ja,Guild D-20 ATB USA,1410.0,"43,00 mm",Nein,1 Stück,34675
221,393446,,Mahagoni,20,Ja,Fichte,Juni 2016,Blau,Nandu,Ibanez,Ja,,Nein,Ibanez PF15ECE-TBS Bundle,202.0,"42,00 mm",Ja,1 Stück,2212
222,175097,,Meranti,20,Nein,Fichte,November 2004,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FX310A Westerngitarre natur,249.0,"43,00 mm",Ja,1 Stück,37995
223,413152,,Mahagoni,20,Ja,"Fichte, Massiv",April 2017,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FGX820C NT B-Stock,385.0,"43,00 mm",Ja,1 Stück,54972
224,379870,,Nato,20,Nein,"Fichte, Massiv",April 2016,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha FG800 SB,269.0,"43,00 mm",Nein,1 Stück,40280
225,462407,,Kirsche,21,Nein,"Fichte, Massiv",März 2019,Burst,Palisander,Seagull,Nein,,Nein,Seagull Entourage Autumn Burst CW Q1T,669.0,"43,69 mm",Ja,1 Stück,79887
226,453105,,Mahagoni,20,Nein,"Fichte, Massiv",,Sunset Burst,Richlite,Gibson,Nein,,Ja,Gibson J-45 Montana Custom,5798.0,"43,00 mm",Ja,1 Stück,82855
227,464306,,Mahagoni,20,Ja,Fichte,April 2019,"Natur, matt",Ovangkol,Baton Rouge,Nein,,Nein,Baton Rouge L1LS/DCE Natural B-Stock,185.0,"46,00 mm",Ja,1 Stück,43259
228,441875,,Walnuss,20,Nein,"Fichte, Massiv",August 2018,Natur,Walnuss,Gibson,Nein,,Ja,Gibson J-45 Studio Walnut AN 2019,1333.0,"44,00 mm",Ja,1 Stück,12025
229,455885,,Ahorn,20,Nein,Sitka Fichte massiv,Januar 2019,Natur,Ahorn,Ibanez,Nein,,Nein,Ibanez AVD15MPL-OPS,449.0,"43,00 mm",Nein,1 Stück,52485
230,465534,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",,Natur,Ebenholz,Yamaha,Nein,,Ja,Yamaha FG5 NT,1159.0,"44,00 mm",Nein,1 Stück,81550
231,454243,,Koa,19,Nein,Koa,Dezember 2018,Natur,Ovangkol,DAngelico,Nein,,Nein,DAngelico Premier Utica Koa Top,195.0,"43,00 mm",Nein,1 Stück,79984
232,442190,,Mahagoni,20,Ja,"Zeder, massiv",Juni 2018,Natur,Ebenholz,Furch,Nein,,Nein,Furch Blue Dc-CM B-Stock,925.0,"45,00 mm",Nein,1 Stück,97993
233,457584,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",Januar 2019,Sunburst,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 517 WHB,2999.0,"44,50 mm",Nein,1 Stück,12021
234,318345,,Mahagoni,20,Nein,Fichte,November 2013,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-16S,159.0,"43,00 mm",Nein,1 Stück,31566
235,461192,,Walnuss,20,Nein,Sitka Fichte massiv,März 2019,Sunburst,Walnuss,Gibson,Nein,,Ja,Gibson J-15 Walnut Burst 2019,1949.0,"43,00 mm",Ja,1 Stück,79373
236,440421,,Walnuss,20,Ja,"Fichte, Massiv",Mai 2018,Sunburst,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Walnut Burst CEQ,1998.0,"44,00 mm",Ja,1 Stück,83293
237,161645,,Palisander,20,Nein,Fichte,März 2003,Natur,Ebenholz,Lakewood,Nein,,Ja,Lakewood D-32,2098.0,"44,00 mm",Nein,1 Stück,83135
238,428644,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",Januar 2018,Natur,Ebenholz,Furch,Nein,,Ja,Furch Red D-SR,2498.0,"45,00 mm",Nein,1 Stück,80885
239,403180,,Palisander,20,Ja,"Fichte, Massiv",November 2016,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FGX830C NT B-Stock,455.0,"43,00 mm",Ja,1 Stück,44843
240,461182,,Palisander,20,Nein,Sitka Fichte massiv,Mai 2019,Antik,Palisander,Gibson,Nein,,Ja,Gibson Songwriter AN 2019,2798.0,"43,80 mm",Ja,1 Stück,80982
241,455893,,Pau Ferro,651,Nein,Sitka Fichte massiv,Januar 2019,Natur,Pau Ferro,Ibanez,Nein,,Nein,Ibanez AVD15MPL-OPS,449.0,"43,00 mm",Nein,1 Stück,47112
242,432915,,Mahagoni,20,Nein,Fichte,März 2018,Natur,Pau Ferro,Guild,Ja,,Nein,Guild D-240E Flamed Mahogany,437.0,"43,00 mm",Ja,1 Stück,28370
243,414098,,Walnuss,20,Nein,Fichte,September 2017,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-41S WN,269.0,"43,00 mm",Nein,1 Stück,8244
244,440163,,"Mahagoni, Massiv",650,Ja,"Fichte, Massiv",Mai 2018,Sunburst,Blackwood Tek,Shadow Guitars,Nein,,Nein,Shadow Guitars JMS-54E SBS,363.0,"43,00 mm",Ja,1 Stück,50440
245,430141,,Linde,20,Ja,Fichte,März 2018,Natur,Walnuss,Fender,Nein,,Nein,Fender FA-125CE,150.0,"43,00 mm",Ja,1 Stück,38536
246,447379,,"Blackwood, Massiv",21,Ja,Blackwood,September 2018,Natur,Ebenholz,Maton,Nein,,Ja,Maton EBW70C Blackwood,2049.0,"44,10 mm",Ja,1 Stück,14242
247,266391,,Mahagoni,20,Nein,Fichte,Mai 2011,Sunburst,Walnuss,Fender,Ja,,Nein,Fender CD-60 SB Bundle,155.0,"43,00 mm",Nein,1 Stück,40406
248,442699,,Palisander,21,Ja,Sitka Fichte massiv,Juni 2018,Natur,Palisander,DAngelico,Nein,,Ja,DAngelico Excel Bowery Natural,999.0,"43,00 mm",Ja,1 Stück,84011
249,403357,,Roupana,21,Nein,Fichte,Januar 2017,Natur,Palisander,Eko,Nein,,Nein,Eko Ranger VI VR Natural,199.0,"43,00 mm",Nein,1 Stück,36763
250,466208,,Palisander,20,Ja,"Fichte, Massiv",Mai 2019,Tobacco Sunburst,Palisander,Takamine,Nein,,Ja,Takamine Meiyuu,1799.0,"45,00 mm",Ja,1 Stück,3989
251,384996,,Palisander,20,Ja,Fichte,April 2016,Braun,Palisander,Takamine,Nein,,Ja,Takamine P5DCWB,1498.0,"42,50 mm",Ja,1 Stück,10559
