,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,koffer,mensur,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
105,399589,Folk,Walnuss,,Ja,"Fichte, Massiv",Oktober 2016,Natur,Eboncore,Tanglewood,Nein,Nein,,Tanglewood DBT SFCE PW,248.0,"43,00 mm",Ja,1 Stück,56294
106,414102,Auditorium,Walnuss,,Ja,Fichte,September 2017,Natur,Ovangkol,Harley Benton,Nein,Nein,,Harley Benton Custom Line CLA-28VE WN,299.0,"45,00 mm",Ja,1 Stück,10768
107,406840,Concert,Mahagoni,,Nein,Fichte,April 2018,Antik,Palisander,Guild,Nein,Ja,,Guild M-40 Troubadour AS,1899.0,"44,50 mm",Nein,1 Stück,83809
108,451592,Parlor,Mahagoni,,Nein,Fichte,November 2018,Natural Burst,Lorbeer,Ibanez,Nein,Nein,,Ibanez PN19-ONB,159.0,"42,00 mm",Nein,1 Stück,67482
109,341089,Parlor,Mahagoni,,Nein,"Mahagoni, massiv",Januar 2015,Sunburst,Palisander,Framus,Nein,Nein,,Framus FP-14M VS Legacy Series,339.0,"45,00 mm",Nein,1 Stück,31570
110,465753,Travel,Mahagoni,,Nein,"Fichte, Massiv",Mai 2019,Schwarz,Walnuss,Fender,Nein,Nein,,Fender CT-60S Travel Black WN B-Stock,162.0,"43,00 mm",Nein,1 Stück,97255
111,466452,Mini Orchestra,Queensland maple,,Nein,"Fichte, Massiv",Mai 2019,Sunburst,Pau Ferro,Maton,Nein,Ja,,Maton EMTE Tommy Emmanuel Mi B-Stock,1659.0,"44,10 mm",Ja,1 Stück,98072
112,462301,Concert,Kirsche,,Nein,"Fichte, Massiv",März 2019,Schwarz,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Faded Black Q1T,549.0,"43,70 mm",Ja,1 Stück,31849
113,441534,Parlor,Mahagoni,,Nein,"Mahagoni, massiv",Juni 2018,Natur,Ebenholz,Framus,Nein,Nein,,Framus Legacy Series FP 14 M Parlor,389.0,"45,00 mm",Ja,1 Stück,7600
114,361896,Concert,"Mahagoni, Massiv",,Nein,"Mahagoni, massiv",August 2016,Natur,Palisander,Guild,Nein,Ja,,Guild M-20,1499.0,"44,45 mm",Nein,1 Stück,44960
115,459550,Orchestra,Mahagoni,,Nein,Mahagoni,Februar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues O B-Stock,73.0,"43,00 mm",Nein,1 Stück,50312
116,463569,Folk,Mahagoni,,Nein,Fichte,April 2019,Natur,Ovangkol,Baton Rouge,Nein,Nein,,Baton Rouge L1LS/F Natural B-Stock,105.0,"46,00 mm",Nein,1 Stück,56105
117,461128,Parlor,Walnuss,,Ja,Sitka Fichte massiv,März 2019,Antik,Richlite,Gibson,Nein,Nein,,Gibson Parlor AG AN 2019,1698.0,"43,81 mm",Ja,1 Stück,79247
118,441512,Folk,Mahagoni,,Ja,Mahagoni,Juni 2018,Sunburst,Ebenholz,Framus,Nein,Nein,,Framus FF 14 M Folk VS Legacy Series,399.0,"45,00 mm",Ja,1 Stück,14337
119,455322,Travel,Mahagoni,,Nein,Fichte,März 2019,Braun,Walnuss,Luna Guitars,Ja,Nein,,Luna Guitars Safari Artist Vintage Travel,159.0,"43,00 mm",Nein,1 Stück,32735
120,462305,Concert,Kirsche,,Nein,"Fichte, Massiv",März 2019,Blau,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Denim Blue Q-Discrete,539.0,"43,70 mm",Ja,1 Stück,80898
121,337205,Folk,Mahagoni,,Nein,Mahagoni,Juli 2014,Natur,Palisander,Luna Guitars,Nein,Nein,,Luna Guitars Safari Polynesian Tattoo,132.0,"43,00 mm",Nein,1 Stück,49990
122,393302,Folk,Mahagoni,,Ja,"Fichte, Massiv",Juni 2016,Natur,Palisander,Framus,Nein,Nein,,Framus FF-14SVCE VNT Legacy S B-Stock,359.0,"45,00 mm",Ja,1 Stück,98503
123,406844,Concert,Mahagoni,,Nein,Fichte,Juni 2018,Antik,Palisander,Guild,Nein,Ja,,Guild M-40 Troubadour AS LR Baggs,2099.0,"44,50 mm",Ja,1 Stück,84977
124,457264,,Ahorn,,Nein,"Fichte, massiv",Februar 2019,Natur,Wenge,Höfner,Nein,Nein,643 mm,Höfner HA-CS7 Relic,898.0,"45,00 mm",Ja,1 Stück,9226
125,462328,Concert,Kirsche,,Nein,"Fichte, Massiv",März 2019,Creme,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Faded Cream Q1T,529.0,"43,70 mm",Ja,1 Stück,80791
126,461121,00-Style,Walnuss,,Nein,Sitka Fichte,April 2019,Walnuss Burst,Walnuss,Gibson,Nein,Ja,,Gibson L-00 Studio WB 2019,1549.0,"43,80 mm",Ja,1 Stück,6751
127,441844,Parlor,"Palisander, Massiv",19,Ja,"Fichte, Massiv",November 2018,"Sunburst, Hochglanz",Richlite,Gibson,Nein,Ja,,Gibson Parlor Rosewood AG LH 2019,2299.0,"44,00 mm",Ja,1 Stück,41565
128,415653,Travel,Palisander,,Nein,"Fichte, Massiv",Juni 2017,Sunburst,Palisander,Fender,Nein,Ja,,Fender CT140SE Travel Sunburst,325.0,"43,00 mm",Ja,1 Stück,9927
129,441794,Folk,Mahagoni,,Nein,Mahagoni,Juni 2018,Natur,Roseacer,Harley Benton,Nein,Nein,,Harley Benton CG-45 NS Bundle,99.0,"42,00 mm",Nein,1 Stück,74715
130,399575,Orchestra,Mahagoni,,Nein,Mahagoni,Dezember 2016,Sunburst,Palisander,Tanglewood,Nein,Nein,,Tanglewood TWCR O E,157.0,"43,00 mm",Ja,1 Stück,6889
131,460893,Travel,Glas faserverstärkte Kohlefaser,,Ja,Kohlefaser,April 2019,Blau,Kohlefaser,Journey Instruments,Ja,Nein,,Journey Instruments OF660 BL M,1399.0,"44,50 mm",Ja,1 Stück,8372
132,462298,Concert,Kirsche,,Ja,"Fichte, Massiv",März 2019,Schwarz,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Faded Black CW Q1T,549.0,"43,70 mm",Ja,1 Stück,34346
133,349009,Folk,Mahagoni,,Nein,"Fichte, Massiv",Januar 2015,Natur,Palisander,Framus,Nein,Nein,,Framus FF-14SV VNT Legacy Series,389.0,"45,00 mm",Nein,1 Stück,36862
134,460211,00-Style,Mahagoni,,Nein,"Fichte, Massiv",Mai 2019,Sunburst,Richlite,Gibson,Nein,Ja,,Gibson L-00 Deluxe Rosewood Burst,2998.0,"43,80 mm",Ja,1 Stück,7490
135,341088,Parlor,Mahagoni,,Nein,"Mahagoni, massiv",Januar 2015,Sunburst,Palisander,Framus,Nein,Nein,,Framus FP-14ME VS Legacy Series,399.0,"45,00 mm",Ja,1 Stück,13643
136,147588,Folk,Mahagoni,,Nein,Mahagoni,April 2001,Natur,Roseacer,Harley Benton,Ja,Nein,,Harley Benton Bluesgitarren-Set 1,78.0,"42,00 mm",Nein,1 Stück,7758
137,447455,Dreadnought,Agathis,,Nein,Fichte,September 2018,Natur,Nandu,Ibanez,Ja,Nein,,Ibanez IJV30-NT Starter Set,109.0,"42,00 mm",Nein,1 Stück,48459
138,441833,Parlor,"Palisander, Massiv",,Ja,"Fichte, Massiv",August 2018,"Sunburst, Hochglanz",Richlite,Gibson,Nein,Ja,,Gibson Parlor Rosewood AG 2019,1998.0,"44,00 mm",Ja,1 Stück,41787
139,461116,00-Style,Walnuss,,Nein,Sitka Fichte,März 2019,Antik,Walnuss,Gibson,Nein,Ja,,Gibson L-00 Studio ANTN 2019,1549.0,"43,80 mm",Ja,1 Stück,15586
140,460902,Dreadnought,Mahagoni,,Nein,Mahagoni,Februar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues DCE B-Stock,92.0,"43,00 mm",Ja,1 Stück,48884
141,462400,Concert,Kirsche,,Nein,"Fichte, Massiv",März 2019,Braun,Palisander,Seagull,Nein,Nein,,Seagull S6 Orig.Slim Concert HB GT A/E,639.0,"43,69 mm",Ja,1 Stück,35891
142,336346,Small,"Palisander, Massiv",,Nein,"Fichte, Massiv",April 2014,Natur,Ebenholz,Yamaha,Ja,Nein,,Yamaha LS 16 A.R.E NT,849.0,"44,00 mm",Ja,1 Stück,37521
